y_number,t250,t100,t50,t25,t10,t5,t2,t0,wg_number,clustercode,reference_name,pipeline_time,pipeline_date
D863AUTO,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
D863MANUAL,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
TC_D863,1,54,66,87,113,120,123,128,WG19-00048,RT015_TL174.1.54.66.87.113.120,RT015_TL174,,
Y1756J,1,59,74,99,130,139,142,147,WG19-00050,RT015_TL174.1.59.74.99.130.139,RT015_TL174,,
Y1756R,1,59,74,99,130,139,142,148,WG19-00050,RT015_TL174.1.59.74.99.130.139,RT015_TL174,,
Y19-1971R,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1971SP,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1972R,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-1972SP,8,63,78,104,139,150,155,165,WG19-00082,RT015_TL174.1.63.78.104.139.150,RT015_TL174,,
Y19-2276,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2361,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2362,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
Y19-2364,1,7,8,134,178,199,205,222,WG19-00060,RT015_TL174.1.7.8.134.178.199,RT015_TL174,,
18bfc1a7-c5fe-4219-b427-ce5e43fb4f65,1,7,8,4,5,6,6,6,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,,
Y19-2715,1,7,8,4,5,6,6,238,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,,
Y19-2715,1,7,8,4,5,6,6,238,WG19-00018,RT015_TL174.1.7.8.4.5.6,RT015_TL174,1448,2019-08-18
3d33a560-f39a-4372-bd87-d258f4563b85,1,7,8,47,10,11,11,11,WG19-00020,RT015_TL174.1.7.8.47.10.11,RT015_TL174,,
57bd6764-a9bb-4bc5-98ed-a5055f8bd79c,1,7,8,47,10,11,11,11,WG19-00020,RT015_TL174.1.7.8.47.10.11,RT015_TL174,,
Y19-1836-SP,1,7,8,47,137,148,153,161,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-1853-R,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-1853-SP,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,,
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,1237,2019-09-17
Y19-3044,1,7,8,47,137,148,153,162,WG19-00052,RT015_TL174.1.7.8.47.137.148,RT015_TL174,1952,2019-09-17
