y_number,reference_name,original_id,new_t250,new_t100,new_t50,new_t25,new_t10,new_t5,new_t2,new_t0,new_clustercode,new_clustercode_frequency,new_wg_number,new_clustercode_updated,new_data,old_clustercode,old_t250,old_t100,old_t50,old_t25,old_t10,old_t5,old_t2,old_t0,old_wg_number,old_clustercode_frequency,UPDATED
252,RT015_TL174,,1,31,32,35,40,43,44,46,RT015_TL174.1.31.32.35.40.43,3,WG19-00079,2019-12-03 16:00:04.429682,,RT015_TL174.21.31.32.35.40.43,21,31,32,35,40,43,44,46,WG19-00009,3,wg_number;t250;clustercode
Y19-1732LSP,RT015_TL174,,1,31,32,35,40,43,44,46,RT015_TL174.1.31.32.35.40.43,3,WG19-00079,2019-12-03 16:00:04.431267,,RT015_TL174.21.31.32.35.40.43,21,31,32,35,40,43,44,46,WG19-00009,3,wg_number;t250;clustercode
Y19-2225,RT015_TL174,,1,31,61,79,97,103,106,163,RT015_TL174.1.31.61.79.97.103,3,WG19-00077,2019-12-03 16:00:04.396248,,RT015_TL174.21.31.61.79.97.103,21,31,61,79,97,103,106,163,WG19-00008,3,wg_number;t250;clustercode
837,RT015_TL174,,1,31,61,79,97,103,106,110,RT015_TL174.1.31.61.79.97.103,3,WG19-00077,2019-12-03 16:00:04.425688,,RT015_TL174.21.31.61.79.97.103,21,31,61,79,97,103,106,110,WG19-00008,3,wg_number;t250;clustercode
Y19-1870,RT015_TL174,,1,31,61,79,97,103,106,163,RT015_TL174.1.31.61.79.97.103,3,WG19-00077,2019-12-03 16:00:04.426900,,RT015_TL174.21.31.61.79.97.103,21,31,61,79,97,103,106,163,WG19-00008,3,wg_number;t250;clustercode
Y19-2311-R,RT015_TL174,,1,33,16,137,181,203,209,227,RT015_TL174.1.33.16.137.181.203,2,WG19-00073,2019-12-03 16:00:04.296721,,S,1,33,16,137,181,203,209,227,WG19-00000,1,wg_number;clustercode_frequency;clustercode
Y19-2887_190827-1030,RT015_TL174,,1,33,16,137,181,203,209,227,RT015_TL174.1.33.16.137.181.203,2,WG19-00073,2019-12-03 16:00:04.443971,,NA,,,,,,,,,,,
Y19-2971R_190831-0927,RT015_TL174,,1,33,35,39,46,49,50,52,RT015_TL174.1.33.35.39.46.49,8,WG19-00022,2019-12-03 16:00:04.314062,,NA,,,,,,,,,,,
Y19-2971SP_190831-0927,RT015_TL174,,1,33,35,39,46,49,50,52,RT015_TL174.1.33.35.39.46.49,8,WG19-00022,2019-12-03 16:00:04.446355,,NA,,,,,,,,,,,
699-L-SP,RT015_TL174,,1,50,58,76,93,99,102,106,RT015_TL174.1.50.58.76.93.99,2,WG19-00074,2019-12-03 16:00:04.321643,,RT015_TL174.8.50.58.76.93.99,8,50,58,76,93,99,102,106,WG19-00003,2,wg_number;t250;clustercode
699-R,RT015_TL174,,1,50,58,76,93,99,102,106,RT015_TL174.1.50.58.76.93.99,2,WG19-00074,2019-12-03 16:00:04.402480,,RT015_TL174.8.50.58.76.93.99,8,50,58,76,93,99,102,106,WG19-00003,2,wg_number;t250;clustercode
Y19-1971R,RT015_TL174,,1,63,78,104,139,150,155,165,RT015_TL174.1.63.78.104.139.150,4,WG19-00080,2019-12-03 16:00:04.404120,,RT015_TL174.8.63.78.104.139.150,8,63,78,104,139,150,155,165,WG19-00004,4,wg_number;t250;clustercode
Y19-1971SP,RT015_TL174,,1,63,78,104,139,150,155,165,RT015_TL174.1.63.78.104.139.150,4,WG19-00080,2019-12-03 16:00:04.406347,,RT015_TL174.8.63.78.104.139.150,8,63,78,104,139,150,155,165,WG19-00004,4,wg_number;t250;clustercode
Y19-1972R,RT015_TL174,,1,63,78,104,139,150,155,165,RT015_TL174.1.63.78.104.139.150,4,WG19-00080,2019-12-03 16:00:04.408279,,RT015_TL174.8.63.78.104.139.150,8,63,78,104,139,150,155,165,WG19-00004,4,wg_number;t250;clustercode
Y19-1972SP,RT015_TL174,,1,63,78,104,139,150,155,165,RT015_TL174.1.63.78.104.139.150,4,WG19-00080,2019-12-03 16:00:04.410009,,RT015_TL174.8.63.78.104.139.150,8,63,78,104,139,150,155,165,WG19-00004,4,wg_number;t250;clustercode
Y19-2715_190818-1448,RT015_TL174,,1,7,8,4,5,6,6,238,RT015_TL174.1.7.8.4.5.6,3,WG19-00016,2019-12-03 16:00:04.180201,,NA,,,,,,,,,,,
Y19-3044_190917-1237,RT015_TL174,,1,7,8,47,137,148,153,162,RT015_TL174.1.7.8.47.137.148,6,WG19-00050,2019-12-03 16:00:04.344714,,NA,,,,,,,,,,,
Y19-3044_190917-1952,RT015_TL174,,1,7,8,47,137,148,153,162,RT015_TL174.1.7.8.47.137.148,6,WG19-00050,2019-12-03 16:00:04.346953,,NA,,,,,,,,,,,
Y19-3044_190917-2200,RT015_TL174,,1,7,8,47,137,148,153,162,RT015_TL174.1.7.8.47.137.148,6,WG19-00050,2019-12-03 16:00:04.349495,,NA,,,,,,,,,,,
3198_190916-1157,RT015_TL174,,1,7,8,47,196,223,232,259,RT015_TL174.1.7.8.47.196.223,2,WG19-00075,2019-12-03 16:00:04.343606,,NA,,,,,,,,,,,
Y19-3198_190916-1157,RT015_TL174,,1,7,8,47,196,223,232,259,RT015_TL174.1.7.8.47.196.223,2,WG19-00075,2019-12-03 16:00:04.419904,,NA,,,,,,,,,,,
DIGEST-7_190902-1307,RT015_TL174,,1,7,8,47,94,109,112,252,RT015_TL174.1.7.8.47.94.109,7,WG19-00042,2019-12-03 16:00:04.339412,,NA,,,,,,,,,,,
Y19-3212_190916-1037,RT015_TL174,,1,7,8,47,94,109,230,257,RT015_TL174.1.7.8.47.94.109,7,WG19-00042,2019-12-03 16:00:04.418349,,NA,,,,,,,,,,,
